"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 26 11:34:23 GMT 2025","Wed Mar 26 11:34:23 GMT 2025","198","","com.example.teamcity.api.ProjectTest","","com.example.teamcity.api.ProjectTest","userCreatesProjectStartingWithSpecialCharactersTest","User should not be able to create a project with Project ID starting with special characters [16] {",""
"passed","Wed Mar 26 11:34:24 GMT 2025","Wed Mar 26 11:34:25 GMT 2025","212","","com.example.teamcity.api.ProjectTest","","com.example.teamcity.api.ProjectTest","userCreatesProjectStartingWithSpecialCharactersTest","User should not be able to create a project with Project ID starting with special characters [25] <",""
"passed","Wed Mar 26 11:34:29 GMT 2025","Wed Mar 26 11:34:29 GMT 2025","266","","com.example.teamcity.api.ProjectTest","","com.example.teamcity.api.ProjectTest","userCreatesProjectContainsSpecialCharactersExceptUnderscoreTest","User should not be able to create a project with Project ID containing special characters (except underscore) [1] !",""
"passed","Wed Mar 26 11:34:36 GMT 2025","Wed Mar 26 11:34:36 GMT 2025","111","","com.example.teamcity.api.ProjectTest","","com.example.teamcity.api.ProjectTest","userCreatesProjectWithCyrillicCharactersInProjectIdTest","User should not be able to create a project with cyrillic characters in its id",""
"passed","Wed Mar 26 11:34:10 GMT 2025","Wed Mar 26 11:34:14 GMT 2025","4140","","com.example.teamcity.api.BuildTypeTest","","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create a build type",""
"passed","Wed Mar 26 11:34:37 GMT 2025","Wed Mar 26 11:34:37 GMT 2025","340","","com.example.teamcity.api.ProjectTest","","com.example.teamcity.api.ProjectTest","userFindsProjectByItsName","User should be able to find a project by its name",""
"passed","Wed Mar 26 11:34:26 GMT 2025","Wed Mar 26 11:34:26 GMT 2025","355","","com.example.teamcity.api.ProjectTest","","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameProjectIdTest","User should not be able to create two projects with the same Project ID",""
"passed","Wed Mar 26 11:33:04 GMT 2025","Wed Mar 26 11:33:58 GMT 2025","53250","","com.example.teamcity.ui.SetupServerTest","","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"passed","Wed Mar 26 11:34:20 GMT 2025","Wed Mar 26 11:34:20 GMT 2025","236","","com.example.teamcity.api.ProjectTest","","com.example.teamcity.api.ProjectTest","userCreatesProjectStartingWithSpecialCharactersTest","User should not be able to create a project with Project ID starting with special characters [8] *",""
"passed","Wed Mar 26 11:34:28 GMT 2025","Wed Mar 26 11:34:28 GMT 2025","309","","com.example.teamcity.api.ProjectTest","","com.example.teamcity.api.ProjectTest","projectViewerCreatesProjectTest","Project Viewer should not be able to create a project",""
