"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 24 14:48:01 GMT 2025","Mon Mar 24 14:48:16 GMT 2025","15484","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationWithEmptyName","User should not be able to create a build configuration with empty name",""
"passed","Mon Mar 24 14:47:45 GMT 2025","Mon Mar 24 14:48:01 GMT 2025","16075","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithAlreadyExistingBuildTypeName","User should not be able to create a build configuration with name that already exists for another build configuration",""
"passed","Mon Mar 24 14:45:44 GMT 2025","Mon Mar 24 14:46:38 GMT 2025","53212","","com.example.teamcity.ui.SetupServerTest","","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"passed","Mon Mar 24 14:46:47 GMT 2025","Mon Mar 24 14:47:45 GMT 2025","57539","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
"passed","Mon Mar 24 14:48:16 GMT 2025","Mon Mar 24 14:48:35 GMT 2025","18924","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userSuccessfullyCreatesBuildType","User should be able to create a build configuration",""
"passed","Mon Mar 24 14:47:45 GMT 2025","Mon Mar 24 14:47:45 GMT 2025","10","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create a project without name",""
