"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 26 09:42:10 GMT 2025","Wed Mar 26 09:42:24 GMT 2025","13568","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userSuccessfullyCreatesBuildType","User should be able to create a build configuration",""
"passed","Wed Mar 26 09:40:41 GMT 2025","Wed Mar 26 09:41:39 GMT 2025","57740","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
"passed","Wed Mar 26 09:41:39 GMT 2025","Wed Mar 26 09:41:59 GMT 2025","19883","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithAlreadyExistingBuildTypeName","User should not be able to create a build configuration with name that already exists for another build configuration",""
"passed","Wed Mar 26 09:41:59 GMT 2025","Wed Mar 26 09:42:10 GMT 2025","11152","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationWithEmptyName","User should not be able to create a build configuration with empty name",""
"passed","Wed Mar 26 09:39:33 GMT 2025","Wed Mar 26 09:40:32 GMT 2025","58944","","com.example.teamcity.ui.SetupServerTest","","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
