"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 11:20:27 GMT 2025","Tue Mar 25 11:20:46 GMT 2025","18393","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithAlreadyExistingBuildTypeName","User should not be able to create a build configuration with name that already exists for another build configuration",""
"passed","Tue Mar 25 11:20:46 GMT 2025","Tue Mar 25 11:21:03 GMT 2025","16747","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationWithEmptyName","User should not be able to create a build configuration with empty name",""
"passed","Tue Mar 25 11:20:27 GMT 2025","Tue Mar 25 11:20:27 GMT 2025","10","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create a project without name",""
"failed","Tue Mar 25 11:21:03 GMT 2025","Tue Mar 25 11:21:45 GMT 2025","42952","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userSuccessfullyCreatesBuildType","User should be able to create a build configuration",""
"passed","Tue Mar 25 11:19:29 GMT 2025","Tue Mar 25 11:20:27 GMT 2025","58071","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
"passed","Tue Mar 25 11:18:26 GMT 2025","Tue Mar 25 11:19:20 GMT 2025","53872","","com.example.teamcity.ui.SetupServerTest","","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
