"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 12:15:34 GMT 2025","Tue Mar 25 12:16:35 GMT 2025","61069","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
"passed","Tue Mar 25 12:14:30 GMT 2025","Tue Mar 25 12:15:24 GMT 2025","53921","","com.example.teamcity.ui.SetupServerTest","","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"passed","Tue Mar 25 12:16:35 GMT 2025","Tue Mar 25 12:16:54 GMT 2025","18985","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithAlreadyExistingBuildTypeName","User should not be able to create a build configuration with name that already exists for another build configuration",""
"passed","Tue Mar 25 12:16:54 GMT 2025","Tue Mar 25 12:17:10 GMT 2025","15861","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationWithEmptyName","User should not be able to create a build configuration with empty name",""
"failed","Tue Mar 25 12:17:10 GMT 2025","Tue Mar 25 12:18:22 GMT 2025","71961","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userSuccessfullyCreatesBuildType","User should be able to create a build configuration",""
"passed","Tue Mar 25 12:16:35 GMT 2025","Tue Mar 25 12:16:35 GMT 2025","4","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create a project without name",""
