"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 16:03:32 GMT 2025","Tue Mar 25 16:04:26 GMT 2025","53950","","com.example.teamcity.ui.SetupServerTest","","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"failed","Tue Mar 25 16:04:35 GMT 2025","Tue Mar 25 16:05:42 GMT 2025","66573","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
"passed","Tue Mar 25 16:06:16 GMT 2025","Tue Mar 25 16:06:34 GMT 2025","17432","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userSuccessfullyCreatesBuildType","User should be able to create a build configuration",""
"failed","Tue Mar 25 16:05:59 GMT 2025","Tue Mar 25 16:06:16 GMT 2025","17038","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationWithEmptyName","User should not be able to create a build configuration with empty name",""
"failed","Tue Mar 25 16:05:42 GMT 2025","Tue Mar 25 16:05:59 GMT 2025","17264","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithAlreadyExistingBuildTypeName","User should not be able to create a build configuration with name that already exists for another build configuration",""
