"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 26 07:53:21 GMT 2025","Wed Mar 26 07:53:40 GMT 2025","19708","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithAlreadyExistingBuildTypeName","User should not be able to create a build configuration with name that already exists for another build configuration",""
"passed","Wed Mar 26 07:51:26 GMT 2025","Wed Mar 26 07:52:21 GMT 2025","54894","","com.example.teamcity.ui.SetupServerTest","","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"passed","Wed Mar 26 07:53:40 GMT 2025","Wed Mar 26 07:53:53 GMT 2025","12548","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildConfigurationWithEmptyName","User should not be able to create a build configuration with empty name",""
"failed","Wed Mar 26 07:52:31 GMT 2025","Wed Mar 26 07:53:20 GMT 2025","49792","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create a project",""
"passed","Wed Mar 26 07:53:53 GMT 2025","Wed Mar 26 07:54:06 GMT 2025","13175","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userSuccessfullyCreatesBuildType","User should be able to create a build configuration",""
